Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2026-01-15 18:07:18,"Medaix ",29m,"Lat Pulldown (Machine)",1,100.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Lat Pulldown (Machine)",2,100.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Torso Rotation (Machine)",1,42.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Torso Rotation (Machine)",2,42.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Back Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Back Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-19 20:19:07,"Medaix ",38m,"Leg Press",1,122.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Leg Press",2,122.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Seated Row (Machine)",1,122.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Shoulder Press (Machine)",1,72.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Shoulder Press (Machine)",2,72.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Lat Pulldown (Machine)",1,102.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Lat Pulldown (Machine)",2,102.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Torso Rotation (Machine)",1,42.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Torso Rotation (Machine)",2,42.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Back Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-19 20:19:07,"Medaix ",38m,"Back Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-21 18:03:19,"Medaix ",30m,"Leg Press",1,122.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Leg Press",2,122.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
